央视V6,#genre#
NewTV精品纪录 2.5M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
NewTV精品体育 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
NewTV超级体育 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTV超级电影 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV超级电视剧 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV超级综艺 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV精品萌宠 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8

体育,#genre#
魅力足球,http://111.7.150.107:80/wh7f454c46tw2410900298_-287524708/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226558/1.m3u8
咪咕全民热练 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226508/index.m3u8
咪咕视频 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226398/index.m3u8
CCTV-5 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226469/index.m3u8
咪咕视频 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226472/index.m3u8
哒啵赛事 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225675/index.m3u8

教育,#genre#
CETV1中国教育电视台一套,http://hwylivehd.centv.cn/cetv1/ypd.m3u8
CETV2中国教育电视台二套,http://hwylivehd.centv.cn/cetv2/2020tsytk.m3u8
CETV3中国教育电视台三套,http://hwylivehd.centv.cn/cetv3/bjdm.m3u8
CETV4空中课堂频道,http://hwylivehd.centv.cn/cetv4/zjpd.m3u8

老电影,#genre#
少林寺,http://uptt.gcwduoduo.com/webup/220716/cadcf1093a8873377dabf576d6318e45.mp4
少林小子,http://uptt.gcwduoduo.com/webup/220716/4ec6d242079fa332891d09f3b8db3071.mp4
南北少林,http://uptt.gcwduoduo.com/v/210309/7007f4d54f2ebc09af78f28a09d04acd.mp4
少林俗家弟子,http://uptt.gcwduoduo.com/webup/220716/90afe2526447d486663868d300cf8b3f.mp4
上甘岭-1956年,http://uptt.gcwduoduo.com/webup/231215/8e583169c607c292974f01fb2cbc326a.mp4
五朵金花-高清修复-1959年,http://uptt.gcwduoduo.com/v/230726/34379cfdc58e35f69fdfee1ec4bf4ba0.mp4
地雷战,http://uptt.gcwduoduo.com/webup/220922/a23e6f15b5fad43540c83260dc58006a.mp4
小兵张嘎,http://uptt.gcwduoduo.com/v/210223/d771cbe46f9812249ed14b6153f37f8c.mp4
闪闪的红星,http://uptt.gcwduoduo.com/webup/231227/727d0a3ada1a0c4da8509bb5b2afcee8.mp4
渡江侦察记,http://uptt.gcwduoduo.com/v/210223/18dc79682b91674fd8455159f2e51d29.mp4
南征北战,http://uptt.gcwduoduo.com/v/210223/5e8cf18c460614cf2f32f87c6658f963.mp4
巍巍昆仑,http://uptt.gcwduoduo.com/v/210309/ea8d1b12289bbba99427ae43f40f1dc4.mp4
鹰爪铁布衫,http://uptt.gcwduoduo.com/webup/220710/d91f562e712e4aeb72b9c262c49c5387.mp4
咱们的牛百岁,http://uptt.gcwduoduo.com/v/210309/4bbb7187077ba404dc4383e377aa6c56.mp4
桥-南斯拉夫1969年,http://uptt.gcwduoduo.com/webup/230925/ccab78d922fd87a6cd40c071f9c82c27.mp4
这里的黎明静悄悄-苏联1972年,http://uptt.gcwduoduo.com/webup/240111/78c29222c80361d0febffa27f19fcd42.mp4
夺印-1963年,http://uptt.gcwduoduo.com/v/230831/aba64b473910e32fd9f888cedb6f388e.mp4
平原游击队-1955,http://uptt.gcwduoduo.com/webup/231117/ea193aaca55818ac34891c8102f3e860.mp4
野火春风斗古城-1963年,http://uptt.gcwduoduo.com/webup/231205/2d1d972555aaa90ad75109bdca815ea2.mp4
三毛流浪记-1949年,http://uptt.gcwduoduo.com/webup/231206/c3e5037118a987d446193cc96f388ff7.mp4
英雄儿女-1964年,http://uptt.gcwduoduo.com/webup/231215/ac1336d8fd1e57160f092228559d00f5.mp4
六盘山-1978年,http://uptt.gcwduoduo.com/webup/231227/0fb8e44848747e5de508aae208ae14e3.mp4
永不消逝的电波-1958年,http://uptt.gcwduoduo.com/webup/231227/f2cffe2ef4799b029ba85e0857e08d9a.mp4
狼牙山五壮士-1958年,http://uptt.gcwduoduo.com/webup/231227/c51ad400efe64b52e13f622155437041.mp4
艳阳天-1973年,http://uptt.gcwduoduo.com/webup/240106/f53c4cc527abbf694582dfb45d74fbe5.mp4
大刀记,http://uptt.gcwduoduo.com/v/210223/ce0069351d6c293ce422b8d04a48289f.mp4
自古英雄出少年,http://uptt.gcwduoduo.com/webup/220716/6d19e84ce4059348380a37a39c8b6541.mp4
骆驼祥子,http://uptt.gcwduoduo.com/v/210309/cbfde6d86260b425d206463dc3a2a074.mp4
飞来的女婿,http://uptt.gcwduoduo.com/v/210309/ac18b08702a45e385e3a671d1cde177c.mp4
大渡河,http://uptt.gcwduoduo.com/webup/230819/1dcd592bff85bb1c9cc517993108276c.mp4
林海雪原-1960年,http://uptt.gcwduoduo.com/webup/230731/89ab26a7b599cb82d0658793bbf4c0e0.mp4
铁道游击队,http://uptt.gcwduoduo.com/v/210223/10f5e91328a9412c6d22252fd0fa1e48.mp4
地道战,http://uptt.gcwduoduo.com/v/210223/d09159a31f65daa10099ab67949a2198.mp4
三进山城-高清修复1962年,http://uptt.gcwduoduo.com/webup/230619/2ab5b4d7fb1837bbde31fc67bd7158e6.mp4
白毛女,http://uptt.gcwduoduo.com/webup/220926/4c36b15fbfd5e21e44577a25c2bee07e.mp4
红色娘子军-1972年,http://uptt.gcwduoduo.com/webup/231229/fb714b551c0e2806b63808934bced71a.mp4
黄桥决战,http://uptt.gcwduoduo.com/webup/230819/bde8e91a4b38367ef531fd8702521634.mp4
我们是八路军,http://uptt.gcwduoduo.com/webup/230721/112525d2f446ac9fa8173dbd74457c53.mp4
朝鲜战争真实影像记录,http://uptt.gcwduoduo.com/webup/230308/ee6e3fb3a2002fd0f369de4a86399077.mp4
白莲花,http://uptt.gcwduoduo.com/webup/2201002/b520601a8acf07204ad020c23539ae39.mp4
古刹钟声-高清修复-1958年,http://uptt.gcwduoduo.com/webup/230902/f616a4c128ebde5e8c441c72ee26a522.mp4
阿诗玛-1964年,http://uptt.gcwduoduo.com/webup/231116/6e82ba278359df213190aa7091f8f610.mp4
纪录片国庆颂1974年,http://uptt.gcwduoduo.com/webup/231012/e3d068b5597887b644824ec8effc0a41.mp4

戏曲,#genre#
豫剧-倒霉大叔的婚事,http://uptt.gcwduoduo.com/v/200901/182b44da66a166d672ab840c5e251f9d.mp4
豫剧-倒霉大叔的婚事新版,http://uptt.gcwduoduo.com/webup/240109/1ee277fdf43e88cd3dfed7e9aaeb93a0.mp4
豫剧-卷席筒续集,http://uptt.gcwduoduo.com/v/200623/8485616d11060b039d2a79874fd69c6c.mp4
豫剧-朝阳沟,http://uptt.gcwduoduo.com/v/230706/d120a1b58d32d0cdae69069d72c6aa8d.mp4
豫剧-朝阳沟-省三团,http://uptt.gcwduoduo.com/v/190116/cf91667f48e329e2d6c046fe263a7772.mp4
豫剧-花木兰-常香玉,http://uptt.gcwduoduo.com/v/220516/cca4d215b8c4dc747bdd161996644592.mp4
豫剧-穆桂英挂帅-马金凤高清修复1958年,http://uptt.gcwduoduo.com/v/230816/c6a9f1664e597d208e6351aa0828a7b1.mp4
豫剧-穆桂英挂帅-马金凤1958年,http://uptt.gcwduoduo.com/v/200818/0a8244cef52e092c41e55b26f1d3ad3c.mp4
豫剧-五世请缨,http://uptt.gcwduoduo.com/webup/220728/90bc290beb934088350617f08cd7d663.mp4
豫剧-桃园喜,http://uptt.gcwduoduo.com/v/201030/45f02d572d8dcc7e215701c0e268d25c.mp4
豫剧-人欢马叫,http://uptt.gcwduoduo.com/webup/220728/a2ccaca043d97deae2ec183bec8a43d3.mp4
豫剧-时来运转-洛阳春晓豫剧团,http://uptt.gcwduoduo.com/webup/240109/a9d73c9bcce5e9d71655f6aaa33b7816.mp4
豫剧-包青天,http://uptt.gcwduoduo.com/webup/230307/2b1c916bda2605d77b6746f9c37fc52a.mp4
豫剧-黄河边,http://uptt.gcwduoduo.com/webup/230418/8fad94693440f7f4750791b0c4047ee5.mp4
豫剧-黄河滩上的女人,http://uptt.gcwduoduo.com/webup/230121/26074469a1fc770b20f12e350c6012cb.mp4
